,Date,State,UR,StateName
221,1976-05-01,MI,9.6,michigan
222,1976-05-01,MN,5.6,minnesota
223,1976-05-01,MS,6.2,mississippi
224,1976-05-01,MO,6.1,missouri
225,1976-05-01,MT,5.9,montana
226,1976-05-01,NE,3.1,nebraska
227,1976-05-01,NV,8.8,nevada
228,1976-05-01,NH,6.6,new hampshire
229,1976-05-01,NJ,10.3,new jersey
230,1976-05-01,NM,8.9,new mexico
231,1976-05-01,NY,10.1,new york
232,1976-05-01,NC,6.0,north carolina
233,1976-05-01,ND,3.5,north dakota
234,1976-05-01,OH,7.9,ohio
235,1976-05-01,OK,5.8,oklahoma
236,1976-05-01,OR,9.2,oregon
237,1976-05-01,PA,8.1,pennsylvania
238,1976-05-01,RI,8.1,rhode island
239,1976-05-01,SC,7.1,south carolina
240,1976-05-01,SD,3.0,south dakota
241,1976-05-01,TN,5.8,tennessee
242,1976-05-01,TX,5.9,texas
243,1976-05-01,UT,5.6,utah
244,1976-05-01,VT,8.6,vermont
245,1976-05-01,VA,5.8,virginia
246,1976-05-01,WA,8.7,washington
247,1976-05-01,WV,7.8,west virginia
248,1976-05-01,WI,5.5,wisconsin
249,1976-05-01,WY,4.1,wyoming
250,1976-06-01,AL,6.5,alabama
251,1976-06-01,AK,7.1,alaska
252,1976-06-01,AZ,9.6,arizona
253,1976-06-01,AR,7.0,arkansas
254,1976-06-01,CA,8.9,california
255,1976-06-01,CO,5.6,colorado
256,1976-06-01,CT,9.5,connecticut
257,1976-06-01,DE,8.9,delaware
258,1976-06-01,FL,8.9,florida
259,1976-06-01,GA,8.0,georgia
260,1976-06-01,HI,9.6,hawaii
261,1976-06-01,ID,5.6,idaho
262,1976-06-01,IL,6.5,illinois
263,1976-06-01,IN,5.8,indiana
264,1976-06-01,IA,3.9,iowa
265,1976-06-01,KS,4.2,kansas
266,1976-06-01,KY,5.4,kentucky
267,1976-06-01,LA,6.8,louisiana
268,1976-06-01,ME,8.5,maine
269,1976-06-01,MD,6.7,maryland
270,1976-06-01,MA,9.6,massachusetts
271,1976-06-01,MI,9.4,michigan
272,1976-06-01,MN,5.6,minnesota
273,1976-06-01,MS,6.2,mississippi
274,1976-06-01,MO,6.1,missouri
275,1976-06-01,MT,5.9,montana
276,1976-06-01,NE,3.1,nebraska
277,1976-06-01,NV,8.7,nevada
278,1976-06-01,NH,6.5,new hampshire
279,1976-06-01,NJ,10.4,new jersey
280,1976-06-01,NM,8.9,new mexico
281,1976-06-01,NY,10.2,new york
282,1976-06-01,NC,5.9,north carolina
283,1976-06-01,ND,3.7,north dakota
284,1976-06-01,OH,7.7,ohio
285,1976-06-01,OK,5.7,oklahoma
286,1976-06-01,OR,9.1,oregon
